Year,Player,not_Match_Up,MIN,PTS,not_WL,not_MIN,FG%,not_FGM,not_FGA,not_FG%,not_3PT,not_3PA,not_3P%,not_FTM,not_FTA,REB,AST,not_DREB,not_REB,not_AST,not_STL,BLK,TOV,PF,PlusMinus,Fantasy
2015,Henry Sims,73,19.2,8,3.3,6.9,47.4,0.1,0.3,18.2,1.5,1.9,77.4,1.7,3.3,4.9,1.1,0.5,0.4,1.4,9.6,,,,,
2015,Iman Shumpert,62,24.9,8,3.1,7.6,41,1.1,3.2,34.2,0.7,1,67.2,0.9,2.7,3.6,2.2,1.3,0.3,1.5,9.1,,,,,
2015,Jason Smith,82,21.8,8,3.1,7.2,43.4,0.2,0.5,35.7,1.5,1.9,83,1.2,2.8,4,1.7,0.4,0.5,1.3,8.9,,,,,
2015,Patrick Patterson,81,26.6,8,3,6.6,44.9,1.3,3.5,37.1,0.8,1,78.8,1.6,3.8,5.3,1.9,0.7,0.5,0.7,12,,,,,
2015,Kris Humphries,64,21,8,3.3,7,47.3,0,0.1,0,1.4,1.8,74.4,1.8,4.7,6.5,0.9,0.5,0.4,0.7,11.4,,,,,
2015,James Johnson,70,19.6,7.9,3.4,5.8,58.9,0.2,0.7,21.6,1,1.5,65.7,0.9,2.8,3.7,1.4,0.8,1,1.1,10.7,,,,,
2015,KJ McDaniels,62,21.8,7.9,2.8,7,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1,2.2,3.2,1.2,0.7,1.1,1.7,7.6,,,,,
2015,Andre Iguodala,77,26.9,7.8,3,6.4,46.6,1,2.8,34.9,0.9,1.5,59.6,0.6,2.8,3.3,3,1.2,0.3,1.1,10.4,,,,,
2015,Marcus Smart,67,27,7.8,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,0.9,2.4,3.3,3.1,1.5,0.3,1.3,9.4,,,,,
2015,Mike Scott,68,16.5,7.8,3,6.7,44.4,1,2.8,34.4,0.9,1.1,79.2,0.7,2.3,2.9,1.1,0.4,0,0.6,7.7,,,,,
2015,Jerryd Bayless,77,22.3,7.8,2.9,6.7,42.6,0.5,1.6,30.8,1.6,1.8,88.3,0.3,2.5,2.7,3,0.8,0.2,1.7,8.7,,,,,
2015,Rasual Butler,75,20.1,7.7,2.9,6.9,42.2,1.2,3.1,38.7,0.7,0.9,79.1,0.4,2.3,2.6,0.8,0.4,0.3,0.6,7.1,,,,,
2015,Steven Adams,70,25.3,7.7,3.1,5.7,54.4,0,0,0,1.5,2.9,50.2,2.8,4.6,7.5,0.9,0.5,1.2,1.4,12.4,,,,,
2015,Jae Crowder,82,20.1,7.7,2.8,6.6,42,0.7,2.5,29.3,1.3,1.7,77.3,0.9,2.7,3.6,1.1,0.9,0.3,0.6,8.7,,,,,
2015,Beno Udrih,79,18.9,7.7,3.1,6.4,48.7,0.3,1.2,26.8,1.1,1.3,85.3,0.3,1.6,1.8,2.8,0.6,0.1,1.1,8.3,,,,,
2015,Norris Cole,75,24.4,7.6,3.1,7.4,41.2,0.7,2.3,31.3,0.8,1.1,71.6,0.2,1.9,2.1,3.4,0.8,0.2,1.3,8.1,,,,,
2015,Cody Zeller,62,24,7.6,2.8,6,46.1,0,0,100,2,2.6,77.4,1.6,4.3,5.8,1.6,0.5,0.8,1,11.6,,,,,
2015,JJ Hickson,73,19.3,7.6,3,6.3,47.5,0,0,0,1.6,2.8,57.7,2.1,4.1,6.2,0.8,0.5,0.5,1.3,9.7,,,,,
2015,J.J. Barea,77,17.7,7.5,2.9,7,42,0.7,2.2,32.3,1,1.2,80.9,0.3,1.4,1.7,3.4,0.4,0,0.9,7.9,,,,,
2015,Tayshaun Prince,58,24.1,7.5,3.1,6.9,44,0.5,1.2,46.3,0.8,1.1,75.4,0.9,2.7,3.6,1.6,0.5,0.3,0.6,8.7,,,,,
2015,Marvin Williams,78,26.1,7.4,2.7,6.3,42.4,1.2,3.4,35.8,0.8,1.1,71.3,0.7,4.2,4.9,1.3,0.9,0.5,0.8,10.2,,,,,
2015,Ray McCallum,68,21.1,7.4,3,6.9,43.8,0.5,1.6,30.6,0.8,1.2,67.9,0.8,1.9,2.6,2.8,0.7,0.2,1.3,8.1,,,,,
2015,Alan Anderson,74,23.6,7.4,2.6,5.9,44.3,1,2.8,34.8,1.1,1.4,81.2,0.4,2.3,2.8,1.1,0.8,0.1,0.8,7.7,,,,,
2015,Omer Asik,76,26.1,7.3,2.8,5.4,51.7,0,0,0,1.7,3,58.2,3.2,6.6,9.8,0.9,0.4,0.7,1.3,14.1,,,,,
2015,Channing Frye,75,24.9,7.3,2.5,6.5,39.2,1.8,4.6,39.3,0.4,0.5,88.6,0.4,3.5,3.9,1.3,0.6,0.5,1,8.6,,,,,
2015,Brandan Wright,75,19.3,7.3,3.1,4.8,64.2,0,0,0,1,1.5,69.6,1.7,2.6,4.3,0.5,0.7,1.3,0.5,11.4,,,,,
2015,Joakim Noah,67,30.6,7.2,2.8,6.4,44.5,0,0,0,1.6,2.6,60.3,3.3,6.4,9.6,4.7,0.7,1.1,1.8,17,,,,,
2015,Jared Dudley,72,23.8,7.2,2.8,5.9,46.8,1,2.7,38.5,0.7,0.9,71.6,0.6,2.4,3.1,1.8,1,0.2,0.9,9,,,,,
2015,Carl Landry,70,17,7.2,2.7,5.3,51.5,0,0,0,1.8,2.1,82,1.4,2.4,3.8,0.4,0.2,0.2,0.8,8.1,,,,,
2015,Trevor Booker,79,19.8,7.2,2.9,5.9,48.7,0.4,1.1,34.5,1.1,1.9,58.1,1.8,3.3,5,1.1,0.5,0.5,1.1,9.4,,,,,
2015,Quincy Pondexter,75,23.9,7.2,2.5,6,42.1,1.2,3.3,37.3,0.9,1.3,74,0.7,1.9,2.6,1.3,0.3,0.3,0.7,7.1,,,,,
2015,Lance Thomas,62,24,7.1,2.9,7.1,41.2,0.1,0.4,31.8,1.2,1.6,72.7,1,2.1,3.1,1.1,0.6,0.1,1.2,6.3,,,,,
